OBJECTID,HUC12,NAME,lat,lng
4,121002040208,Upper Twelvemile Creek,28.982309490590580,-97.391292470271253
5,121002040101,Oaxley Branch-Guadalupe River,29.069173020418589,-97.286515609008120
8,121002040103,Reeds Branch-Guadalupe River,28.996637899519499,-97.208225649893791
9,121002040106,Mission Creek-Guadalupe River,28.867826551354312,-97.100290891211614
57,121002040303,Headwaters Perdido Creek,28.775354649597432,-97.349883606643118
60,121002040402,Black Bayou-Guadalupe River,28.634786111789651,-97.010056841749815
99,121002040304,Perdido Creek-Coleto Creek,28.722155963526973,-97.251627104507236
100,121002040205,Upper Fifteenmile Creek,28.905952025265776,-97.390019360305189
101,121002040403,Headwaters Kuy Creek,28.619800818253225,-97.107033846934428
102,121002040107,City of Victoria-Spring Creek,28.921382832152005,-97.058613466638121
153,121002040301,Hog Thief Creek-Coleto Creek,28.827034893345683,-97.198003246852352
158,121002040102,Irish Creek,29.124259966224486,-97.199381158413701
189,121002040302,Turkey Creek,28.779875677320717,-97.229956895694158
190,121002040204,Yorktown Creek,29.003823935026617,-97.505424560594975
191,121002040209,Boggy Branch-Fivemile Creek,28.992462220455138,-97.320451729663546
235,121002040202,Thomas Creek,29.005144541787217,-97.636853724619641
236,121002040203,Smith Creek,28.940593006661970,-97.535781705960915
238,121002040210,Lower Twelvemile Creek,28.910260924502097,-97.251003974154060
243,121002040104,Price Creek,29.011118714756947,-97.134546170469378
284,121002040201,Salt Creek,29.050311570622512,-97.604881854613836
286,121002040207,Lower Fifteenmile Creek,28.834412599561858,-97.293035433038767
287,121002040206,Eighteenmile Creek,28.853000874890540,-97.417638446856813
289,121002040108,Saxet Lakes-Guadalupe River,28.801828887493230,-97.050595396360393
290,121002040401,Dry Creek-Guadalupe River,28.703042469734214,-97.024791746042183
338,121002040305,Court Branch-Coleto Creek,28.729128262559300,-97.124628897505602
339,121002040404,Kuy Creek-Guadalupe River,28.566849935875894,-96.971012786810604
340,121002040105,Rocky Creek-Guadalupe River,28.920579796920151,-97.166383436246576